name,brand,url,price,original_price,rating_average,discount,discount_rate,review_count
Bộ Sạc Nhanh Cho Iphone PD20W Hoco C80 chuôi dẹt 2 cổng Usb và Type-C kèm dây sạc Type-C sang iPhone - Hàng chính hãng,"""Hoco""",https://tiki.vn/product-p109888350.html?spid=262859079,142000,165000,5.0,23000,14,3
"Pin Sạc Dự Phòng 10.000mAh ROBOT RT180 - 2 Cổng Sạc Vào Type-C/Micro, Kích Thước Mỏng và Nhẹ - HÀNG CHÍNH HÃNG","""Robot""",https://tiki.vn/product-p68793627.html?spid=69247930,219000,399000,4.7,180000,45,1605
"Chuột Không Dây PIX-LINK P100 Wireless 2.4Ghz Sạc Pin, Chống Ồn, DPI1600 Dùng Cho Máy Tính, Laptop, Tivi-Hàng Chính Hãng","""PIX-LINK""",https://tiki.vn/product-p174593840.html?spid=174593859,105000,230000,4.6,125000,54,166
Cáp sạc nhanh chuẩn PD 20W cho IP Remax RC-183i chiều dài 2m - Hàng chính hãng,"""Remax""",https://tiki.vn/product-p251518071.html?spid=251518072,149000,200000,5.0,51000,26,16
"Lót chuột Logitech Mouse Pad - Đế cao su chống trượt, lướt dễ dàng, bề mặt chống đổ tràn, bền bỉ, nhỏ gọn - Hàng chính hãng","""Logitech""",https://tiki.vn/product-p171939157.html?spid=171939159,189607,249000,4.8,59393,24,133
"Loa Bluetooth 5.0 - [[ Nghe 24h - Phạm Vi 20m, 200m2 ]] - VIVAN VS20 - Hàng Chính Hãng","""vivan""",https://tiki.vn/product-p58547647.html?spid=58547648,1239000,1239000,4.7,0,0,872
Ốp Lưng Trong Suốt Hoco Dành Cho iPhone - Hàng Chính Hãng,"""Hoco""",https://tiki.vn/product-p135410778.html?spid=135410782,86000,86000,4.8,0,0,72
"	 Loa TWS Bluetooth 5.0 VIVAN VS1 – Chống Nước IPX5, Pin 1800mAh, Âm Thanh Sống Động, Hỗ Trợ Thẻ Nhớ SD & USB – HÀNG CHÍNH HÃNG","""vivan""",https://tiki.vn/product-p54385590.html?spid=54385592,439000,439000,4.8,0,0,882
Ốp lưng dẻo trong phong cách mới dành cho iPhone 12 / 13 / 14 / 12 Pro / 12 Pro Max / 13 Pro / 13 Pro Max / 13 Mini / 14 / 14 Max / 14 Pro / 14 Pro Max  - Hàng chính hãng,"""Photodesign VN""",https://tiki.vn/product-p191477357.html?spid=191477359,139000,199000,4.8,60000,30,209
"Giá Đỡ Máy Tính, Laptop Chất Liệu Hợp Kim Nhôm Cao Cấp Xoay 360 Độ. Hỗ Trợ Tản Nhiệt Chống Mỏi Cổ, Vai, Gáy Model FS088 V3.1. Hàng Chính Hãng Tamayoko","""Tamayoko""",https://tiki.vn/product-p215985421.html?spid=215985423,541000,750000,4.8,209000,28,41
Tai Nghe Bluetooth True Wireless Samsung Galaxy Buds2 Pro SM-R510N - Hàng Chính Hãng,"""Samsung""",https://tiki.vn/product-p195523094.html?spid=195523100,2990000,4990000,5.0,2000000,40,19
"Dây Cáp Dù Lõi HDMI 2.1 8K 48Gbps, 4K 165Hz Dài 2M CHOETECH XHH01 Dùng Cho Tivi/ Máy Tính/ Playstation - Hàng Chính Hãng","""CHOETECH""",https://tiki.vn/product-p88798139.html?spid=88798140,229000,390000,4.8,161000,41,393
"Ốp Bảo Vệ Dành Cho Apple Watch Ultra / Apple Watch Series 1-8/SE/SE 2022, Kai.N Curved Glass - Hàng Chính Hãng","""Kain """,https://tiki.vn/product-p262043852.html?spid=262043876,93000,99000,4.5,6000,6,5
"Miếng Lót Chuột Phím Tắt Văn Phòng Cao Cấp , Bàn Di Chuột Công Thức  , Pad Chuột","""OEM""",https://tiki.vn/product-p248655757.html?spid=248655759,51000,51000,4.8,0,0,4
"Dây Đeo Cao Su Miband 3, Miband 4 Dây Đeo Thay Thế Cho Đồng Hồ - Hàng Chính Hãng PKCB","""PKCB""",https://tiki.vn/product-p109961411.html?spid=109961412,33000,80000,4.5,47000,59,75
Dây Cáp Sạc Điện Thoại USB to USB Type C 30W Dài 0.5M Đến 2M CHOETECH AC0001/AC0002/AC0003 - Hàng Chính Hãng,"""CHOETECH""",https://tiki.vn/product-p87212382.html?spid=87212384,109000,150000,4.7,41000,27,60
Dây Cáp Sạc Lightning Cho iPhone Anker PowerLine II 0.9m - A8432 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p1059892.html?spid=1061964,230000,330000,4.7,100000,30,1242
Cáp sạc nhanh 2.4A và truyền dữ liệu chân type-C Remax Colorful Light RC-152a [Hàng chính hãng],"""Remax""",https://tiki.vn/product-p111031533.html?spid=253128525,98000,200000,3.5,102000,51,2
Cáp Sạc Nhanh ROBOT RCL100 Dành Cho IPHONE/IPAD - Chất Liệu Dây Bện Dù - Chiều Dài 1m - Hàng chính hãng,"""Robot""",https://tiki.vn/product-p124710495.html?spid=124710496,79000,139000,4.8,60000,43,147
Tai Nghe Điện Thoại PKCB323 Thoại Cổng 3.5mm - Hàng Chính Hãng,"""PKCB""",https://tiki.vn/product-p205752358.html?spid=205752359,81000,200000,4.8,119000,60,30
"Giá Đỡ Để Bàn Điện Thoại Di Động, Máy Tính Bảng. Có Thể Xoay 360 Độ Chất Liệu Hợp Kim Nhôm Cao Cấp. Hàng Chính Hãng Tamayoko","""Tamayoko""",https://tiki.vn/product-p212265002.html?spid=212265008,245000,400000,4.8,155000,39,49
Thẻ Nhớ Micro SDXC Samsung Evo Plus U3 130MB/s 512GB New - Hàng Nhập Khẩu,"""Samsung""",https://tiki.vn/product-p173137800.html?spid=173137801,830000,830000,5.0,0,0,71
"Gamepad Không Dây, Tay Cầm Chơi Game Bluetooth Pin Sạc cho máy tính - điện thoại - máy chơi game","""OEM""",https://tiki.vn/product-p214939406.html?spid=216097172,308900,308900,4.0,0,0,3
Cáp Sạc Nhanh và Truyền Dữ Liệu VivuMax M10 đầu sạc Micro dành cho (Samsung/Oppo/Xiaomi/Nokia/Realme/Techno/Vsmart ...) – Hàng Chính Hãng,"""OEM""",https://tiki.vn/product-p155440451.html?spid=155440453,29000,32000,5.0,3000,9,9
Adapter Sạc Anker 323 1C1A 33W USB-A và Type-C A2331 - Hàng Chính Hãng,"""ANKER""",https://tiki.vn/product-p273080551.html?spid=273080558,242000,380000,5.0,138000,36,10
